"","Firm_id","Firm","Year","Firm_value","Count","Green_inn","Location","Age","Sales","Sales_growth","Total_assets","Total_debt","Leverage","Tshare_equity","ROA","ROE","Size"
"103","AZN-GB","AZN",2007,31.500863,1340,7.2012,"GB",8,21594.566189,2.698281,32087.134059,10366.265295,32.30661,10107.724237,14.62322,36.681814,10.3762104206422
"104","AZN-GB","AZN",2008,34.011628,1449,7.2793,"GB",9,21596.728663,16.699535,33656.344445,8523.4347,25.324897,11447.07064,11.862476,35.993795,10.4239568595001
"105","AZN-GB","AZN",2009,37.618354,1144,7.0432,"GB",10,23592.31408,21.949986,38278.44736,7710.751332,20.143846,14399.721822,14.483738,40.395517,10.5526422846607
"106","AZN-GB","AZN",2010,41.357992,1073,6.9791,"GB",11,25141.373118,2.510862,41837.427275,6874.138192,16.430595,17303.119699,14.932874,37.76897,10.641546607245
"107","AZN-GB","AZN",2011,44.001514,1060,6.967,"GB",12,24153.572112,-2.757445,40696.377452,7185.610617,17.656634,17907.022341,17.832641,41.816834,10.613894361376
"108","AZN-GB","AZN",2012,44.340046,1076,6.9819,"GB",13,21777.864942,-15.753401,40605.279774,7820.085076,19.258789,18004.399559,11.875189,26.886348,10.6116533808295
"109","AZN-GB","AZN",2013,41.54636,936,6.8427,"GB",14,19366.261917,-6.822453,40566.786451,7530.026945,18.562049,16854.023302,4.904364,11.425133,10.6107049430805
"110","AZN-GB","AZN",2014,33.496032,866,6.765,"GB",15,19672.885959,-3.651123,48423.615997,8960.786215,18.504992,16219.989951,2.099657,5.62833,10.787742907526
"111","AZN-GB","AZN",2015,30.75311,753,6.6254,"GB",16,22281.122847,2.044492,55347.508207,13857.129283,25.036591,17021.080213,4.718709,14.714543,10.9213869182797
"112","AZN-GB","AZN",2016,23.756517,758,6.632,"GB",17,20793.759609,5.411262,59280.399489,15935.530093,26.881617,14082.958354,5.674753,21.111947,10.9900339989655
"113","AZN-GB","AZN",2017,23.613347,750,6.6214,"GB",18,19916.935166,2.327764,52759.827779,14829.28076,28.107144,12458.361328,4.783263,20.193023,10.8735053425917
"114","AZN-GB","AZN",2018,20.556957,772,6.6503,"GB",19,18724.31143,-5.030689,53056.030097,16719.590827,31.513083,10906.705302,3.422075,15.503866,10.8791038057634
"115","AZN-GB","AZN",2019,21.38749,878,6.7788,"GB",20,21786.042398,15.374351,54678.841487,16237.861802,29.696792,11694.431989,2.227615,10.62463,10.9092321034701
"116","B8F-DE","B8F",2016,66.344176,6,1.9459,"DE",19,6130.27009,48.148678,23878.67985,3875.32095,16.229209,15842.11332,-63.393325,-191.774692,10.0807412833151
"117","B8F-DE","B8F",2017,17.034462,5,1.7918,"DE",20,12025,96.157753,19848,12525,63.104595,3381,-73.6484,-167.527494,9.89585852537164
"118","B8F-DE","B8F",2018,41.795927,7,2.0794,"DE",21,21107,75.525986,39133,13627,34.822273,16356,-30.10461,-89.963014,10.5747213797842
"119","B8F-DE","B8F",2019,16.580889,5,1.7918,"DE",22,31265,48.126213,60039,23322,38.844751,9955,-14.838866,-55.930979,11.0027496300457
"120","BAVA-DK","BAVA",2006,85.053031,57,4.0604,"DK",12,23.500214,-29.202404,108.317427,26.925489,24.857948,92.127255,-18.207247,-24.036721,4.68506605518908
"121","BAVA-DK","BAVA",2007,70.261886,28,3.3673,"DK",13,44.57398,89.457016,232.286393,20.094339,8.650674,163.208801,-4.723138,-6.300473,5.44797106294239
"122","BAVA-DK","BAVA",2008,59.696824,33,3.5264,"DK",14,28.005935,-37.126438,227.624398,18.106518,7.95456,135.884535,-8.528414,-13.113049,5.42769689334356
"123","BAVA-DK","BAVA",2009,55.401761,31,3.4657,"DK",15,10.042999,-64.185242,170.824988,15.966462,9.346678,94.640052,-17.959206,-31.041353,5.14063957041951
"124","BAVA-DK","BAVA",2010,55.239556,22,3.1355,"DK",16,42.173199,319.977814,196.874202,14.331111,7.279324,108.752436,-28.479033,-51.485328,5.28256495623835
"125","BAVA-DK","BAVA",2011,61.095211,47,3.8712,"DK",17,70.277978,66.713692,265.943282,13.340979,5.016475,162.478609,-15.589037,-26.602215,5.58328306048199
"126","BAVA-DK","BAVA",2012,64.948567,44,3.8067,"DK",18,137.410656,95.348557,206.298057,11.979428,5.806854,133.987631,-13.652835,-21.746352,5.32932200171002
"127","BAVA-DK","BAVA",2013,67.228065,37,3.6376,"DK",19,162.579985,18.541775,194.656308,10.765567,5.530551,130.86367,-3.124236,-4.729737,5.27123548041552
"128","BAVA-DK","BAVA",2014,66.344261,53,3.989,"DK",20,163.234787,0.355791,253.448916,4.724197,1.863964,168.148809,1.553538,2.328145,5.5351622879315
"129","BAVA-DK","BAVA",2015,67.48625,37,3.6376,"DK",21,136.826805,-16.128496,266.562049,4.461276,1.673635,179.892731,3.065937,4.580792,5.58560704577366
"130","BAVA-DK","BAVA",2016,71.439545,52,3.9703,"DK",22,135.220101,-1.354056,379.75834,4.283497,1.127953,271.297629,1.271567,1.821583,5.93953510305171
"131","BAVA-DK","BAVA",2017,79.497575,50,3.9318,"DK",23,184.195961,36.09753,423.436486,53.980959,12.748301,336.621739,6.068668,8.017758,6.04840352881891
"132","BAVA-DK","BAVA",2018,71.240562,40,3.7136,"DK",24,67.044443,-63.528839,410.179756,86.632687,21.120664,292.214362,-11.649498,-15.444113,6.01659549288462
"133","BAVA-DK","BAVA",2019,26.471364,37,3.6376,"DK",25,90.474084,35.177208,943.069179,245.160692,25.996045,249.643272,-6.861434,-17.141369,6.84913964049414
"134","BINV-SE","BINV",2006,74.260443,2,1.0986,"SE",10,5491.972521,80.257462,16438.37038,0,0,12207.206632,-52.490619,-66.129326,9.7073735383928
"135","BINV-SE","BINV",2007,79.010041,8,2.1972,"SE",11,15506.92964,182.195206,28678.803859,0,0,22659.134559,-7.675523,-9.925679,10.2639135873933
"136","BINV-SE","BINV",2008,78.292776,3,1.3863,"SE",12,26129.635497,75.783096,26875.454845,0,0,21041.53972,5.738064,7.296999,10.1989686897519
"137","BINV-SE","BINV",2009,44.067139,9,2.3026,"SE",13,7584.468555,-68.009979,12323.586516,0,0,5430.65197,-83.79052,-123.138315,9.41927030803394
"138","BINV-SE","BINV",2010,53.749909,9,2.3026,"SE",14,8691.378553,2.736211,15304.291606,0,0,8226.042879,-97.171139,-197.806261,9.63588856517275
"139","BINV-SE","BINV",2011,67.046079,12,2.5649,"SE",15,13804.085142,50.422367,23120.823496,0,0,15501.6055,-39.008456,-63.214907,10.0484889404911
"140","BINV-SE","BINV",2012,40.863887,15,2.7726,"SE",16,4935.39774,-65.546455,13588.192158,0,0,5552.663509,-116.565312,-202.445359,9.5169564709232
"141","BINV-SE","BINV",2013,60.177806,16,2.8332,"SE",17,9447.223155,90.269173,9201.899078,0,0,5537.50099,-18.223053,-37.335845,9.12716516325688
"142","BINV-SE","BINV",2014,70.745399,9,2.3026,"SE",18,5153.607567,-42.564831,7823.428314,0,0,5534.715546,-69.413996,-106.442549,8.96487814079351
"143","BINV-SE","BINV",2015,54.096644,13,2.6391,"SE",19,1702.240817,-66.067924,5945.189336,0,0,3216.147937,-141.07736,-221.491903,8.69033765655719
"144","BINV-SE","BINV",2016,83.401617,18,2.9444,"SE",20,7526.536643,347.62323,28835.161062,0,0,24048.990618,-37.846075,-48.164038,10.2693507916764
"145","BINV-SE","BINV",2017,76.581769,25,3.2581,"SE",21,4671.647896,-36.852589,17296.051618,0,0,13245.622222,-45.044976,-55.746377,9.75823352426399
"146","BINV-SE","BINV",2018,72.774917,22,3.1355,"SE",22,3755.394393,-14.36442,11879.628289,0,0,8645.38962,-84.809277,-113.073456,9.38258030362242
"147","BINV-SE","BINV",2019,74.934877,32,3.4965,"SE",23,8852.888549,143.177338,21518.441117,1477.857654,6.867866,16124.817409,-80.016507,-107.86168,9.97666557285079
"148","BSLN-CH","BSLN",2006,55.300989,25,3.2581,"CH",6,4.567233,-76.442696,126.166839,0,0,69.77151,-37.130499,-60.782398,4.83760515012656
"149","BSLN-CH","BSLN",2007,72.908539,28,3.3673,"CH",7,4.809593,9.969929,278.747741,0,0,203.230906,-38.170757,-56.526546,5.63030721870562
"150","BSLN-CH","BSLN",2008,60.86559,33,3.5264,"CH",8,7.448495,49.367088,221.764134,0,0,134.978048,-36.352122,-53.534788,5.40161435760267
"151","BSLN-CH","BSLN",2009,47.289448,37,3.6376,"CH",9,17.555949,124.576271,139.295963,0,0,65.872292,-45.146811,-81.170141,4.93660089974844
"152","BSLN-CH","BSLN",2010,66.413902,55,4.0254,"CH",10,84.256438,338.49057,253.107113,0,0,168.09831,41.139361,69.892822,5.53381277067258
"153","BSLN-CH","BSLN",2011,64.656263,24,3.2189,"CH",11,54.096164,-42.598969,195.320853,0,0,126.287164,-20.809249,-31.691884,5.27464360637622
"154","BSLN-CH","BSLN",2012,28.110845,34,3.5553,"CH",12,48.046911,-13.193396,310.988385,0,0,87.421462,-17.308948,-40.958269,5.73975556421493
"155","BSLN-CH","BSLN",2013,23.649099,42,3.7612,"CH",13,33.271837,-29.273458,244.638868,0,0,57.854889,-9.782234,-37.437563,5.49978311496272
"156","BSLN-CH","BSLN",2014,22.494172,42,3.7612,"CH",14,35.00024,3.780596,214.077869,0,0,48.155045,-14.912251,-64.511694,5.3663398226676
"157","BSLN-CH","BSLN",2015,3.759398,38,3.6636,"CH",15,48.376158,21.542116,366.934887,179.32908,48.87218,13.794545,-18.769957,-169.006859,5.90518441269532
"158","CNW-DE","CNW",2006,92.403997,1455,7.2834,"DE",13,465,25.652515,6376.56732,0,0,5892.20307,-29.000584,-32.372595,8.7603851939271
"159","CNW-DE","CNW",2007,84.689305,1515,7.3238,"DE",14,1197,157.419357,5252.47844,0,0,4448.28749,-24.834368,-27.929042,8.56645532799869
"160","CNW-DE","CNW",2008,84.40001,1536,7.3376,"DE",15,1522,27.151211,4176.97042,0,0,3525.36345,-19.576966,-23.151252,8.33734148283456
"161","CNW-DE","CNW",2009,61.143428,1589,7.3715,"DE",16,1753,15.177398,3022.10105,0,0,1847.81617,-46.617123,-62.458362,8.01370758039409
"162","CNW-DE","CNW",2010,78.691633,1871,7.5348,"DE",17,2145,22.361666,3069.09439,0,0,2415.12049,-47.051519,-67.230649,8.02913781009334
"163","CNW-DE","CNW",2011,83.142728,1768,7.4782,"DE",18,2316,7.972028,2981.64467,0,0,2479.02073,-33.384352,-41.27384,8.00023032994174
"164","CNW-DE","CNW",2012,77.534054,1784,7.4872,"DE",19,2693,16.278065,5169.33844,0,0,4007.99764,-58.422401,-73.408147,8.55049999799945
